,,,,,,,,,,,,
,Informes | SAT | Resultados de encuestas | Conocimiento de los medios de denuncia disponibles para los contribuyentes,,,,,,,,,,,
,,,,,,,,,,,,
,Porcentaje de contribuyentes encuestados que dijeron conocer los medios de denuncia disponibles,,,,,,,,,,,
,Año,Trimestre,"Denuncia en línea (Página del SAT, por medio del Buzón de Quejas y Denuncias)","Denuncia telefónica (Marca SAT, 55 627 22 728) ",Denuncia por correo electrónico (denuncias@sat.gob.mx), Teléfono Rojo ,"Denuncia telefónica Quejas y denuncias SAT (55 88 52 22 22, internacional  844 28 73 803)",De forma presencial al jefe inmediato de la oficina del SAT,"SAT Móvil (Aplicación para celular, apartado Quejas y Denuncias)",Sistema Integral de Denuncias Ciudadanas (SIDEC) en línea (https://sidec.funcionpublica.gob.mx),Denuncia en línea contra servidores públicos federales ante la CNDH (www.cndh.org.mx/Queja_Linea),No sabía que había medios para denunciar/no los conocía
,2020.00,Segundo,28.00,21.00,7.00,1.00,3.00,2.00,1.00,1.00,0.20,33.00
,2020.00,Tercero,24.00,13.00,7.00,0.80,2.00,0.60,0.80,1.00,0.80,40.00
,2020.00,Cuarto,19.00,15.00,6.00,2.00,2.00,1.00,3.00,2.00,2.00,40.00
,2021.00,Primero,21.00,13.00,3.00,1.00,1.00,2.00,1.00,0.30,1.00,54.00
,2021.00,Segundo,23.00,15.00,5.00,1.00,1.00,1.00,3.00,1.00,0.40,50.00
,2021.00,Tercero,17.00,15.00,4.00,1.00,1.00,1.00,2.00,1.00,1.00,54.00
,2021.00,Cuarto,17.00,13.00,4.00,1.00,1.00,2.00,0.30,1.00,1.00,57.00
,2022.00,Primero,17.00,13.00,4.00,0.30,2.00,1.00,1.00,0.10,0.30,59.00
,2022.00,Segundo,14.00,12.00,5.00,1.00,2.00,0.30,1.00,1.00,0.00,62.00
,2022.00,Tercero,16.00,13.00,4.00,1.00,3.00,0.40,1.00,0.40,0.00,58.00
,2022.00,Cuarto,15.00,12.00,2.00,1.00,1.00,0.30,1.00,0.10,0.40,63.00
,2023.00,Primero,17.00,10.00,2.00,2.00,1.00,1.00,1.00,1.00,0.30,61.00
,2023.00,Segundo,16.00,11.00,3.00,1.00,2.00,0.30,0.30,1.00,0.10,65.00
,2023.00,Tercero,16.00,12.00,3.00,2.00,2.00,1.00,1.00,0.40,1.00,62.00
,2023.00,Cuarto,18.00,16.00,3.00,1.00,2.00,1.00,2.00,0.30,0.40,56.00
,2024.00,Primero,19.00,13.00,3.00,1.00,2.00,2.00,1.00,0.40,0.00,59.00
,2024.00,Segundo,15.00,12.00,2.00,1.00,1.00,0.50,0.40,0.00,0.00,64.00
,2024.00,Tercero,17.00,16.00,2.00,1.00,2.00,0.30,1.00,0.10,0.10,60.00
,,,,,,,,,,,,
,* Cifras preliminares.,,,,,,,,,,,
,Fuente: SAT - Estudios y Encuestas de Opinión Pública 2020. Margen de error estadístico asociado de +/- 3.5% y nivel de confianza del 95%.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
